ITEM NAME,CATEGORY NAME,SKU,HSN,UNIT NAME,ALERT QTY,BRAND NAME,LOT NUMBER,PRICE BEFORE TAX,TAX NAME,TAX VALUE,TAX TYPE,SALES PRICE,OPENING STOCK,CUSTOM BARCODE,SELLER POINTS,ITEM DESCIPTION,DISCOUNT TYPE,DISCOUNT,MRP,editeur,verificateur,traducteur,auteur,theme,nature_de_Papier,n_edition,ISBN,annee_edition,emplacement,collection,BL,FA
livre 19,livres,5555,HSN19,PIECES,1,Brand 1,11,120,TVA,20,Inclusive,,1,9.79E+12,10,التنظيم القضائي المغربي,Percentage,30,,دار الأفاق المغربية,,,عبد القادر قرموش,القانون المدني ,,,,"2,022",,,,
livre 20,livres,5555,HSN20,PIECES,1,Brand 1,11,90,TVA,20,Inclusive,,1,9.79E+12,10,التنظيم القضائي ط 8,Percentage,25,,المؤلف,,,عبد الرحمان الشرقاوي,القانون المدني ,,,,"2,022",,,,
livre 21,livres,5555,HSN21,PIECES,1,Brand 1,11,85,TVA,20,Inclusive,,1,9.79E+12,10,التوازن العقدي بين المكري و المكتري في القانون رقم 67.12,Percentage,30,,دار الأفاق المغربية,,,محمد زرال,القانون التجاري ,,,,"2,021",,,,
livre 22,livres,5555,HSN22,PIECES,1,Brand 1,11,180,TVA,20,Inclusive,,1,9.79E+12,10,التوجهات الحديثة لمحكمة لنقض 1/2,Percentage,25,,مجلة القضاء المدني,,,زكرياء العماري,القضاء ,,,,"2,023",,,,
livre 23,livres,5555,HSN23,PIECES,1,Brand 1,11,120,TVA,20,Inclusive,,1,9.79E+12,10,الجماعات الترابية بالمغرب,Percentage,30,,مكتبة الرشاد,,,سعيد جفري,القانون العام,,,,"2,022",,,,
livre 24,livres,5555,HSN24,PIECES,1,Brand 1,11,120,TVA,20,Inclusive,,1,9.79E+12,10,الحجوزات في قانون المسطرة المدنية المغربي,Percentage,30,,دار الأفاق المغربية,,,محمد بلحاج الفحصي,القانون المدني ,,,,"2,022",,,,
livre 25,livres,5555,HSN25,PIECES,1,Brand 1,11,160,TVA,20,Inclusive,,1,9.79E+12,10,الحد من الجريمة و حماية حقوق الانسان,Percentage,30,,دار الأفاق المغربية,,,سعيد بوتشكوكت,القانون الجنائي ,,,,"2,022",,,,
livre 26,livres,5555,HSN26,PIECES,1,Brand 1,11,85,TVA,20,Inclusive,,1,9.79E+12,10,الحلول الاجرائي في قانون المسطرة المدنية,Percentage,30,,دار الأفاق المغربية,,,محمد الهبول,القانون المدني ,,,,"2,022",,,,
livre 27,livres,5555,HSN27,PIECES,1,Brand 1,11,75,TVA,20,Inclusive,,1,9.79E+12,10,الحماية الجنائية لتنفيذ الاحكام القضائية في الميدان المدني,Percentage,30,,مكتبة الرشاد,,,بوشعيب الشرافي,القانون الجنائي ,,,,"2,023",,,,
livre 28,livres,5555,HSN28,PIECES,1,Brand 1,11,120,TVA,20,Inclusive,,1,9.79E+12,10,الحماية الجنائية للعمران بالمغرب في ضوء القانون الجنائي للتعمير,Percentage,30,,مكتبة الرشاد,,,عمر مبروك,القانون الجنائي ,,,,"2,021",,,,
livre 29,livres,5555,HSN29,PIECES,1,Brand 1,11,110,TVA,20,Inclusive,,1,9.79E+12,10,الحماية القانونية للمستهلك في التشريع المغربي,Percentage,30,,دار الأفاق المغربية,,,عبد اللطيف بوعلام,قانون المستهلك,,,,"2,021",,,,
livre 30,livres,5555,HSN30,PIECES,1,Brand 1,11,90,TVA,20,Inclusive,,1,9.79E+12,10,الحماية القانونية لمشتري العقار في طور الإنجاز,Percentage,30,,دار الافاق المغربية,,,ألياس العابوسي,القانون العقاري ,,,,"2,021",,,,
livre 31,livres,5555,HSN31,PIECES,1,Brand 1,11,100,TVA,20,Inclusive,,1,9.79E+12,10,الدليل العملي لاجراءات التقاضي امام المحاكم ط 2,Percentage,30,,مكتبة الرشاد,,,الشرقي الحراث,القضاء ,,,,"2,021",,,,
livre 32,livres,5555,HSN32,PIECES,1,Brand 1,11,140,TVA,20,Inclusive,,1,9.79E+12,10,الدليل القانوني و القضائي للعمل البنكي بالمغرب,Percentage,30,,دار الأفاق المغربية,,,عبد الرحيم المؤذن,القانون البنكي,,,,"2,022",,,,
livre 33,livres,5555,HSN33,PIECES,1,Brand 1,11,80,TVA,20,Inclusive,,1,9.79E+12,10,الذكاء الصناعي,Percentage,30,,دار الأفاق المغربية,,,حسن السوسي,القانون التجاري ,,,,"2,023",,,,
livre 34,livres,5555,HSN34,PIECES,1,Brand 1,11,100,TVA,20,Inclusive,,1,9.79E+12,10,الرجل البرئ The Innocent Man,Percentage,30,,دار الأفاق المغربية,,,مصطفى عثمان,رواية ,,,,"2,021",,,,
livre 35,livres,5555,HSN35,PIECES,1,Brand 1,11,55,TVA,20,Inclusive,,1,9.79E+12,10,الزمن في قانون الاستهلاك,Percentage,30,,دار الأفاق المغربية,,,سكينة نصور,قانون المستهلك,,,,"2,021",,,,
livre 36,livres,5555,HSN36,PIECES,1,Brand 1,11,80,TVA,20,Inclusive,,1,9.79E+12,10,السياسة الجنائية في المجال المعلوماتي في التشريع المغربي,Percentage,30,,مكتبة الرشاد,,,عبد الجليل مهرار,القانون الجنائي ,,,,"2,022",,,,
livre 37,livres,5555,HSN37,PIECES,1,Brand 1,11,135,TVA,20,Inclusive,,1,9.79E+12,10,السياسة الجنائية في مواجهة جرائم الفساد,Percentage,30,,دار الأفاق المغربية,,,كوثر بوعسرية,القانون الجنائي ,,,,"2,021",,,,
livre 38,livres,5555,HSN38,PIECES,1,Brand 1,11,150,TVA,20,Inclusive,,1,9.79E+12,10,السياسة الجنائية في مواجهة جرائم الفساد المالي و الاداري,Percentage,30,,مكتبة الرشاد,,,اشرف لصابري,القانون الجنائي ,,,,"2,021",,,,
livre 39,livres,5555,HSN39,PIECES,1,Brand 1,11,100,TVA,20,Inclusive,,1,9.79E+12,10,السياسة الجنائية و النموذج التنموي الجديد,Percentage,30,,دار الأفاق المغربية,,,عزيز بنزيان,القانون الجنائي ,,,,"2,023",,,,
livre 40,livres,5555,HSN40,PIECES,1,Brand 1,11,120,TVA,20,Inclusive,,1,9.79E+12,10,الشرح العملي لقانون التنظيم القضائي 38.15,Percentage,30,,مكتبة الرشاد,,,محمد نعناني,القانون المدني ,,,,"2,022",,,,
livre 41,livres,5555,HSN41,PIECES,1,Brand 1,11,120,TVA,20,Inclusive,,1,9.79E+12,10,العمل القضائي في قضايا المنازعات العقارية,Percentage,25,,المؤلف,,,عبد العزيز ادزني,القانون المدني ,,,,"2,022",,,,
livre 42,livres,5555,HSN42,PIECES,1,Brand 1,11,60,TVA,20,Inclusive,,1,20200013,10,القانون الجنائي المغربي ع 3,Percentage,25,,المؤلف,,,خليل مرزوق,القانون الجنائي ,,,,"2,022",,,,
livre 43,livres,5555,HSN43,PIECES,1,Brand 1,11,60,TVA,20,Inclusive,,1,27378162303,10,القانون الجنائي المغربي ع 3,Percentage,25,,المؤلف,,,خليل مرزوق,القانون الجنائي ,,,,"2,023",,,,
livre 44,livres,5555,HSN44,PIECES,1,Brand 1,11,33,TVA,20,Inclusive,,1,9.79E+13,10,القانون الجنائي ع 1 /2021.2022,Percentage,25,,دار القانون و الثقافة,,,عبد الكريم كمران,القانون الجنائي ,,,,"2,021",,,,
livre 45,livres,5555,HSN45,PIECES,1,Brand 1,11,33,TVA,20,Inclusive,,1,9.79E+12,10,القانون الجنائي ع 1 2022/2023,Percentage,25,,المؤلف,,,عبد الكريم كمران,القانون الجنائي ,,,,"2,023",,,,
